Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,spend_to_avg_ratio,is_high_value_transaction,transaction_hour,transaction_day_of_week,is_night_transaction,is_weekend,account_age_years,suspicious_keyword_flag,is_international_flag
T100000,CUST3252,2023-10-04 07:45:00,37.54,Travel,PayPal,POS,Bengaluru,0,94,417.4,1492,No,0,0.0899,0,7,2,0,0,4.08,0,0
T100001,CUST1630,2023-09-26 08:29:00,240.81,Utilities,PayPal,Mobile,Bengaluru,0,76,335.47,66,No,0,0.7178,1,8,1,0,0,0.18,0,0
T100002,CUST7852,2023-07-18 15:54:00,105.34,Entertainment,Debit Card,Mobile,Bengaluru,0,60,432.03,216,No,0,0.2438,0,15,1,0,0,0.59,0,0
T100003,CUST4892,2023-10-16 17:10:00,73.04,Utilities,NetBanking,Desktop,Kolkata,0,68,488.3,449,No,0,0.1496,0,17,0,0,0,1.23,0,0
T100004,CUST8831,2023-09-09 00:46:00,13.57,Utilities,Credit Card,Desktop,Bengaluru,0,57,437.03,754,No,0,0.0311,0,0,5,1,1,2.06,0,0
T100005,CUST2962,2024-01-14 03:15:00,13.57,Travel,Credit Card,Mobile,Mumbai,0,64,207.8,1513,No,0,0.0653,0,3,6,1,1,4.14,0,0
T100006,CUST2118,2023-02-09 08:56:00,4.79,Health,NetBanking,Desktop,Bengaluru,0,182,409.11,1163,No,0,0.0117,0,8,3,0,0,3.18,0,0
T100007,CUST4852,2023-03-26 13:12:00,160.9,Fashion,Debit Card,Mobile,Delhi,0,80,358.71,216,No,0,0.4486,0,13,6,0,1,0.59,0,0
T100008,CUST7160,2023-03-06 20:09:00,73.53,Travel,Debit Card,POS,Chennai,0,87,40.19,500,No,0,1.8296,0,20,0,0,0,1.37,0,0
T100009,CUST2337,2023-06-27 12:06:00,98.5,Grocery,Debit Card,Desktop,Mumbai,0,182,465.58,1131,No,0,0.2116,0,12,1,0,0,3.1,0,0
T100010,CUST9322,2023-02-09 22:45:00,1.66,Travel,Credit Card,Desktop,Pune,0,187,238.32,1992,No,0,0.007,0,22,3,0,0,5.45,0,0
T100011,CUST8675,2023-07-25 18:45:00,280.28,Grocery,PayPal,Desktop,Bengaluru,0,167,75.88,1427,No,0,3.6937,1,18,1,0,0,3.91,0,0
T100012,CUST3603,2023-01-02 04:32:00,142.91,Utilities,Debit Card,POS,Pune,0,120,218.44,839,No,0,0.6542,0,4,0,1,0,2.3,0,0
T100013,CUST4855,2023-04-20 21:27:00,19.1,Entertainment,Credit Card,POS,Chennai,0,143,305.54,359,No,0,0.0625,0,21,3,0,0,0.98,0,0
T100014,CUST1114,2023-07-24 10:27:00,16.05,Travel,Credit Card,Desktop,Mumbai,0,79,290.74,1178,No,0,0.0552,0,10,0,0,0,3.23,0,0
T100015,CUST5555,2023-08-14 12:04:00,16.21,Grocery,PayPal,Mobile,Chennai,0,156,291.65,1369,No,0,0.0556,0,12,0,0,0,3.75,0,0
T100016,CUST7395,2024-01-20 05:58:00,29.02,Travel,NetBanking,POS,Pune,0,36,135.36,987,No,0,0.2144,0,5,5,1,1,2.7,0,0
T100017,CUST5632,2023-07-01 12:06:00,59.51,Entertainment,NetBanking,Desktop,Kolkata,0,54,320.02,349,No,0,0.186,0,12,5,0,1,0.96,0,0
T100018,CUST7496,2023-07-30 09:36:00,45.24,Utilities,Debit Card,Desktop,Mumbai,0,145,454.63,504,No,0,0.0995,0,9,6,0,1,1.38,0,0
T100019,CUST2634,2023-12-06 15:34:00,27.54,Travel,Debit Card,POS,Hyderabad,1,100,200.45,1542,No,0,0.1374,0,15,2,0,0,4.22,0,1
T100020,CUST2854,2023-08-25 19:33:00,75.71,Food,PayPal,Mobile,Kolkata,0,86,318.98,855,No,0,0.2374,0,19,4,0,0,2.34,0,0
T100021,CUST6465,2023-01-03 07:09:00,12.02,Grocery,Debit Card,Desktop,Mumbai,0,22,129.55,543,No,0,0.0928,0,7,1,0,0,1.49,0,0
T100022,CUST4900,2023-02-05 11:58:00,27.64,Entertainment,PayPal,Mobile,Bengaluru,0,75,33.66,363,No,0,0.8212,0,11,6,0,1,0.99,0,0
T100023,CUST3087,2023-09-21 18:00:00,36.5,Grocery,Credit Card,Mobile,Pune,0,36,297.01,1124,No,0,0.1229,0,18,3,0,0,3.08,0,0
T100024,CUST7223,2023-08-12 04:50:00,48.71,Grocery,Debit Card,POS,Chennai,0,29,33.3,494,No,0,1.4628,0,4,5,1,1,1.35,0,0
T100025,CUST3347,2023-11-08 02:26:00,123.03,Electronics,Credit Card,Desktop,Chennai,0,183,364.56,1429,No,0,0.3375,0,2,2,1,0,3.91,0,0
T100026,CUST9119,2023-02-24 09:47:00,17.82,Entertainment,UPI,Desktop,Chennai,0,170,338.47,753,No,0,0.0526,0,9,4,0,0,2.06,0,0
T100027,CUST8120,2023-11-11 19:01:00,57.76,Travel,PayPal,Mobile,Delhi,0,160,190.97,37,No,0,0.3025,0,19,5,0,1,0.1,0,0
T100028,CUST4506,2023-07-23 02:04:00,71.8,Grocery,UPI,POS,Delhi,0,142,211.53,1749,No,0,0.3394,0,2,6,1,1,4.79,0,0
T100029,CUST7707,2023-05-19 15:59:00,3.81,Health,Debit Card,POS,Bengaluru,0,18,459.7,193,No,0,0.0083,0,15,4,0,0,0.53,0,0
T100030,CUST2161,2023-01-18 12:48:00,74.83,Electronics,Credit Card,POS,Hyderabad,0,38,16.44,810,No,0,4.5517,0,12,2,0,0,2.22,0,0
T100031,CUST1325,2024-01-31 03:23:00,14.96,Food,Debit Card,Mobile,Delhi,0,101,286.02,1348,No,0,0.0523,0,3,2,1,0,3.69,0,0
T100032,CUST3979,2023-10-11 01:37:00,5.38,Grocery,UPI,Mobile,Mumbai,0,34,462.45,387,Yes,1,0.0116,0,1,2,1,0,1.06,1,0
T100033,CUST5190,2023-12-04 17:57:00,237.9,Utilities,Debit Card,Desktop,Kolkata,0,121,457.85,110,No,0,0.5196,0,17,0,0,0,0.3,0,0
T100034,CUST3166,2023-10-20 22:48:00,269.65,Grocery,NetBanking,POS,Pune,0,173,296.48,803,No,0,0.9095,1,22,4,0,0,2.2,0,0
T100035,CUST3576,2023-03-17 09:52:00,132.19,Electronics,UPI,Mobile,Bengaluru,0,87,196.8,1328,No,0,0.6717,0,9,4,0,0,3.64,0,0
T100036,CUST1493,2023-07-31 16:19:00,29.06,Travel,Debit Card,POS,Kolkata,0,160,58.46,950,No,0,0.4971,0,16,0,0,0,2.6,0,0
T100037,CUST8245,2023-04-01 07:08:00,8.22,Health,Credit Card,Mobile,Hyderabad,0,110,95.15,928,No,0,0.0864,0,7,5,0,1,2.54,0,0
T100038,CUST3909,2024-01-23 20:25:00,92.22,Utilities,Debit Card,Desktop,Kolkata,0,67,343.04,1670,No,0,0.2688,0,20,1,0,0,4.57,0,0
T100039,CUST1360,2023-11-15 13:59:00,46.41,Food,Credit Card,POS,Mumbai,0,191,18.15,1874,No,0,2.557,0,13,2,0,0,5.13,0,0
T100040,CUST2212,2023-05-20 06:51:00,10.41,Utilities,NetBanking,Mobile,Chennai,1,183,442.91,1593,No,0,0.0235,0,6,5,0,1,4.36,0,1
T100041,CUST3656,2023-07-09 03:30:00,54.68,Grocery,Debit Card,POS,Delhi,0,43,298.09,951,No,0,0.1834,0,3,6,1,1,2.6,0,0
T100042,CUST3592,2023-02-14 13:13:00,2.8,Travel,NetBanking,Mobile,Mumbai,0,123,32.12,1100,No,0,0.0872,0,13,1,0,0,3.01,0,0
T100043,CUST8635,2023-11-28 15:15:00,192.03,Entertainment,UPI,Mobile,Hyderabad,0,22,127.49,1445,No,0,1.5062,0,15,1,0,0,3.96,0,0
T100044,CUST5983,2024-02-01 09:14:00,23.96,Health,Credit Card,Mobile,Bengaluru,0,87,301.16,854,No,0,0.0796,0,9,3,0,0,2.34,0,0
T100045,CUST2739,2023-09-05 19:28:00,86.9,Entertainment,UPI,POS,Kolkata,0,196,27.44,1620,No,0,3.1669,0,19,1,0,0,4.44,0,0
T100046,CUST9003,2023-08-25 11:16:00,29.88,Health,Credit Card,Mobile,Mumbai,0,77,392.19,1047,No,0,0.0762,0,11,4,0,0,2.87,0,0
T100047,CUST2821,2024-02-20 11:11:00,58.73,Food,NetBanking,Desktop,Bengaluru,0,125,460.76,1132,No,0,0.1275,0,11,1,0,0,3.1,0,0
T100048,CUST9659,2023-08-26 14:51:00,63.3,Fashion,PayPal,POS,Chennai,0,96,481.0,1566,No,0,0.1316,0,14,5,0,1,4.29,0,0
T100049,CUST2346,2023-09-18 19:18:00,16.35,Health,Debit Card,Desktop,Hyderabad,0,122,369.49,709,No,0,0.0443,0,19,0,0,0,1.94,0,0
T100050,CUST5035,2023-06-19 13:21:00,279.42,Fashion,NetBanking,Desktop,Hyderabad,0,157,429.84,1076,No,0,0.6501,1,13,0,0,0,2.95,0,0
T100051,CUST9085,2023-04-17 07:52:00,119.38,Entertainment,Credit Card,POS,Kolkata,0,40,309.25,1281,No,0,0.386,0,7,0,0,0,3.51,0,0
T100052,CUST8966,2023-02-26 13:39:00,224.41,Health,Credit Card,Mobile,Delhi,0,104,234.69,467,No,0,0.9562,0,13,6,0,1,1.28,0,0
T100053,CUST2691,2023-11-13 01:08:00,180.17,Food,Credit Card,Desktop,Pune,0,173,359.44,1351,No,0,0.5013,0,1,0,1,0,3.7,0,0
T100054,CUST8792,2023-12-26 23:27:00,72.88,Electronics,Credit Card,POS,Hyderabad,0,119,119.85,975,No,0,0.6081,0,23,1,0,0,2.67,0,0
T100055,CUST4298,2024-01-22 12:52:00,203.95,Food,Debit Card,Mobile,Mumbai,0,138,63.79,1313,Yes,0,3.1972,0,12,0,0,0,3.59,1,0
T100056,CUST3212,2023-09-13 20:55:00,7.41,Food,UPI,POS,Mumbai,0,173,383.31,805,No,0,0.0193,0,20,2,0,0,2.2,0,0
T100057,CUST7028,2023-11-15 17:01:00,17.45,Electronics,PayPal,POS,Mumbai,0,120,479.51,705,No,0,0.0364,0,17,2,0,0,1.93,0,0
T100058,CUST2571,2023-04-02 13:38:00,3.7,Electronics,Debit Card,POS,Chennai,0,17,292.96,39,No,0,0.0126,0,13,6,0,1,0.11,0,0
T100059,CUST5418,2023-12-20 15:31:00,31.48,Travel,Credit Card,Mobile,Hyderabad,0,102,246.45,1681,No,0,0.1277,0,15,2,0,0,4.6,0,0
T100060,CUST4067,2023-09-15 21:56:00,39.37,Health,Debit Card,Desktop,Hyderabad,0,130,271.86,187,No,0,0.1448,0,21,4,0,0,0.51,0,0
T100061,CUST2426,2023-01-24 00:12:00,25.32,Entertainment,NetBanking,Desktop,Mumbai,0,145,244.45,897,No,0,0.1036,0,0,1,1,0,2.46,0,0
T100062,CUST9284,2023-11-03 06:55:00,141.16,Travel,Credit Card,POS,Kolkata,0,108,226.68,813,No,0,0.6227,0,6,4,0,0,2.23,0,0
T100063,CUST2607,2023-04-05 16:54:00,35.3,Electronics,PayPal,POS,Delhi,0,90,474.05,1211,No,0,0.0745,0,16,2,0,0,3.32,0,0
T100064,CUST3042,2023-10-18 08:06:00,26.38,Fashion,Credit Card,Mobile,Kolkata,0,119,245.08,349,No,0,0.1076,0,8,2,0,0,0.96,0,0
T100065,CUST7186,2023-03-15 20:47:00,62.59,Entertainment,PayPal,POS,Delhi,0,166,49.74,1929,No,0,1.2583,0,20,2,0,0,5.28,0,0
T100066,CUST3125,2023-09-09 16:36:00,12.15,Fashion,PayPal,POS,Hyderabad,0,165,385.1,1255,No,0,0.0316,0,16,5,0,1,3.44,0,0
T100067,CUST4819,2023-03-18 08:53:00,129.64,Food,UPI,POS,Kolkata,0,63,201.87,150,No,0,0.6422,0,8,5,0,1,0.41,0,0
T100068,CUST9580,2023-04-25 10:57:00,6.2,Grocery,UPI,Desktop,Hyderabad,1,5,358.24,168,No,0,0.0173,0,10,1,0,0,0.46,0,1
T100069,CUST1147,2023-08-02 03:27:00,346.73,Food,Debit Card,POS,Bengaluru,0,25,293.99,703,No,0,1.1794,1,3,2,1,0,1.92,0,0
T100070,CUST6606,2023-12-04 14:21:00,118.36,Food,Debit Card,Desktop,Hyderabad,0,73,359.46,1773,No,0,0.3293,0,14,0,0,0,4.85,0,0
T100071,CUST5408,2023-06-11 14:22:00,17.72,Grocery,PayPal,Mobile,Kolkata,0,124,40.38,1620,No,0,0.4388,0,14,6,0,1,4.44,0,0
T100072,CUST5894,2023-08-31 22:22:00,0.44,Health,Credit Card,Mobile,Mumbai,0,22,26.6,1392,No,0,0.0165,0,22,3,0,0,3.81,0,0
T100073,CUST2246,2023-08-08 04:50:00,135.19,Electronics,NetBanking,Desktop,Pune,0,93,195.49,1313,No,0,0.6915,0,4,1,1,0,3.59,0,0
T100074,CUST1724,2023-05-25 23:41:00,98.17,Fashion,NetBanking,Desktop,Chennai,0,191,349.65,1486,No,0,0.2808,0,23,3,0,0,4.07,0,0
T100075,CUST7806,2023-12-21 08:54:00,104.45,Food,Credit Card,Desktop,Hyderabad,0,35,119.6,73,No,0,0.8733,0,8,3,0,0,0.2,0,0
T100076,CUST7508,2024-02-17 20:42:00,118.02,Grocery,Credit Card,Desktop,Hyderabad,0,55,222.37,1212,No,0,0.5307,0,20,5,0,1,3.32,0,0
T100077,CUST8906,2023-08-11 04:49:00,6.15,Travel,UPI,POS,Mumbai,0,128,490.6,845,No,0,0.0125,0,4,4,1,0,2.31,0,0
T100078,CUST5054,2023-09-14 23:55:00,35.51,Food,NetBanking,Desktop,Bengaluru,0,20,115.29,1408,No,0,0.308,0,23,3,0,0,3.85,0,0
T100079,CUST3837,2023-10-26 18:15:00,9.85,Fashion,PayPal,Desktop,Pune,0,5,425.49,127,No,0,0.0231,0,18,3,0,0,0.35,0,0
T100080,CUST5115,2023-01-13 03:23:00,159.08,Electronics,Debit Card,Desktop,Hyderabad,0,167,414.48,1591,No,0,0.3838,0,3,4,1,0,4.36,0,0
T100081,CUST7480,2023-02-09 10:27:00,78.1,Food,UPI,POS,Delhi,0,63,446.76,1924,No,0,0.1748,0,10,3,0,0,5.27,0,0
T100082,CUST6297,2024-02-07 09:51:00,32.15,Food,NetBanking,POS,Delhi,0,32,458.42,1763,No,0,0.0701,0,9,2,0,0,4.83,0,0
