column_name,data_type,role,unique_values,missing_count,missing_percentage,sample_values
Transaction_ID,object,identifier,5000,0,0.0,"['T100000', 'T100001', 'T100002']"
Customer_ID,object,identifier,3847,0,0.0,"['CUST3252', 'CUST1630', 'CUST7852']"
Transaction_Date,object,datetime feature,4980,0,0.0,"['04-10-2023 07:45', '26-09-2023 08:29', '18-07-2023 15:54']"
Transaction_Amount,float64,numerical feature,4302,0,0.0,"['37.54', '240.81', '105.34']"
Merchant_Category,object,categorical feature,8,0,0.0,"['Travel', 'Utilities', 'Entertainment']"
Payment_Method,object,categorical feature,5,0,0.0,"['PayPal', 'Debit Card', 'NetBanking']"
Device_Type,object,categorical feature,3,0,0.0,"['POS', 'Mobile', 'Desktop']"
Location,object,categorical feature,7,0,0.0,"['Bengaluru', 'Kolkata', 'Mumbai']"
Is_International,int64,boolean feature,2,0,0.0,"['0', '1']"
Previous_Transactions,int64,numerical feature,199,0,0.0,"['94', '76', '60']"
Average_Spend,float64,numerical feature,4753,0,0.0,"['417.4', '335.47', '432.03']"
Account_Age_Days,int64,numerical feature,1827,0,0.0,"['1492', '66', '216']"
Suspicious_Keyword,object,categorical feature,2,0,0.0,"['No', 'Yes']"
Fraudulent,int64,target,2,0,0.0,"['0', '1']"
