threshold,precision,recall,f1_score,fraud_detection_rate,false_positive_rate,true_positives,false_positives,false_negatives,true_negatives
0.05,0.2546,1.0,0.4059,1.0,0.3108,96,281,0,623
0.1,0.2704,1.0,0.4257,1.0,0.2865,96,259,0,645
0.15,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.2,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.25,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.3,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.35,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.4,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.45,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.5,0.2712,1.0,0.4267,1.0,0.2854,96,258,0,646
0.55,0.2688,0.9688,0.4208,0.9688,0.2799,93,253,3,651
0.6,0.284,0.9583,0.4381,0.9583,0.2566,92,232,4,672
0.65,0.2947,0.875,0.4409,0.875,0.2223,84,201,12,703
0.7,0.3216,0.6667,0.4339,0.6667,0.1493,64,135,32,769
0.75,0.3607,0.4583,0.4037,0.4583,0.0863,44,78,52,826
0.8,0.4364,0.25,0.3179,0.25,0.0343,24,31,72,873
0.85,0.4865,0.1875,0.2707,0.1875,0.021,18,19,78,885
0.9,0.5143,0.1875,0.2748,0.1875,0.0188,18,17,78,887
0.95,0.5143,0.1875,0.2748,0.1875,0.0188,18,17,78,887
